Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,deaths in orphanages,newcomers,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,,,,,,,,,,,,
Moscow,provincial city,1889,June,желудочно-кишечный катар,gastro-intestinal infection,yes,718,585,1 303,299,8,782,353,145,2,0,0,5,3,5,3,4,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,несчастный случай,accidents,,15,1,16,0,2,0,2,0,1,1,0,4,3,2,2,0,0,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,самоубийство,suicide,,3,3,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,убийство,murder,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,алкоголизм,alcoholism,,8,1,9,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,рак,cancer,,24,41,65,0,5,0,0,0,0,0,0,2,6,16,21,9,8,2,1,,,,,,,,,,,,,
Moscow,provincial city,1889,June,заболевания нервной системы,diseases of the nervous system,,77,44,121,3,6,10,6,12,2,2,3,11,9,16,13,20,12,3,2,,,,,,,,,,,,,
Moscow,provincial city,1889,July,сыпной тиф,spotted fever,,3,3,6,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,брюшной тиф,enteric fever,,12,5,17,0,0,0,0,0,1,1,4,5,4,0,0,2,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,возвратная горячка,fever,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,тиф без означения формы,typhus,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,послеродовая горячка,puerperal fever,,0,6,6,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,оспа,smallpox,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,скарлатина,scarlet fever,,13,8,21,0,0,0,4,10,4,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,корь,measles,,16,20,36,0,0,3,9,21,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,кровавый понос,bloody diarrhoea,,23,19,42,4,1,8,6,7,2,2,0,3,1,7,3,3,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,дифтерит,pseudomembranous inflammation,,15,20,35,11,1,11,3,14,5,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,круп,croup,yes,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,коклюш,whooping-cough,yes,6,5,11,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,сифилис,syphilis,,3,0,3,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,рожа,wildfire,,5,3,8,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,July,крупозная пневмония,pulmonic fever,yes,13,10,23,0,3,0,0,1,0,0,0,2,5,1,6,4,4,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,болезнь органов дыхания,respiratory disease,yes,160,136,296,164,6,187,21,46,2,2,2,5,7,5,9,8,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,чахотка легких,pulmonary tuberculosis,yes,140,84,224,0,14,0,0,0,1,1,15,57,53,49,33,13,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,желудочно-кишечный катар,gastro-intestinal infection,yes,560,537,1 097,380,11,702,219,157,1,0,0,0,2,5,7,2,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,несчастный случай,accidents,,14,0,14,0,0,0,0,2,1,1,0,6,1,3,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,самоубийство,suicide,,8,0,8,0,0,0,0,0,0,1,0,1,4,0,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,убийство,murder,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,алкоголизм,alcoholism,,8,2,10,0,0,0,0,0,0,0,0,2,3,2,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,рак,cancer,,24,21,45,0,1,0,0,0,0,0,0,0,2,11,13,12,6,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,July,заболевания нервной системы,diseases of the nervous system,,62,41,103,3,11,9,5,12,2,3,3,4,12,12,15,15,10,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,August,сыпной тиф,spotted fever,,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,брюшной тиф,enteric fever,,18,4,22,0,1,0,0,1,1,1,7,7,2,3,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,возвратная горячка,fever,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,тиф без означения формы,typhus,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,послеродовая горячка,puerperal fever,,0,5,5,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,оспа,smallpox,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,скарлатина,scarlet fever,,17,6,23,0,0,0,1,13,6,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,корь,measles,,9,6,15,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,кровавый понос,bloody diarrhoea,,13,6,19,0,1,2,2,3,3,2,0,0,2,2,1,2,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,дифтерит,pseudomembranous inflammation,,22,23,45,6,1,8,5,22,9,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,круп,croup,yes,1,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,коклюш,whooping-cough,yes,8,11,19,0,0,3,4,11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,сифилис,syphilis,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,сибирская язва,Siberian plague / anthrax,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,рожа,wildfire,,4,4,8,3,0,4,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,крупозная пневмония,pulmonic fever,yes,12,10,22,1,0,0,3,1,2,0,1,4,5,3,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,болезнь органов дыхания,respiratory disease,yes,206,177,383,264,7,284,22,50,2,0,0,5,2,3,6,6,2,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,чахотка легких,pulmonary tuberculosis,yes,142,83,225,0,20,0,0,2,0,3,14,63,60,40,28,8,6,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,August,желудочно-кишечный катар,gastro-intestinal infection,yes,546,523,1 069,573,5,765,159,126,2,0,0,2,0,5,4,4,0,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,несчастный случай,accidents,,7,6,13,0,0,0,0,2,0,0,1,3,3,1,0,3,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,самоубийство,suicide,,8,3,11,0,0,0,0,0,0,0,2,2,4,0,3,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,убийство,murder,,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,алкоголизм,alcoholism,,5,2,7,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,рак,cancer,,29,37,66,0,4,0,0,0,0,0,0,0,5,13,14,21,12,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,August,заболевания нервной системы,diseases of the nervous system,,53,41,94,0,8,3,2,14,2,0,4,8,9,11,18,17,4,1,1,,,,,,,,,,,,,
Moscow,provincial city,1889,September,сыпной тиф,spotted fever,,3,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,брюшной тиф,enteric fever,,12,4,16,0,2,0,0,1,1,3,4,5,2,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,тиф без означения формы,typhus,,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,послеродовая горячка,puerperal fever,,0,4,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,перемежающаяся лихорадка,remittent fever,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,оспа,smallpox,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,скарлатина,scarlet fever,,24,16,40,0,0,2,2,23,9,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,корь,measles,,6,5,11,0,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,кровавый понос,bloody diarrhoea,,6,7,13,1,0,1,0,3,1,1,0,2,1,2,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,дифтерит,pseudomembranous inflammation,,22,15,37,7,0,7,0,22,5,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1888,September,круп,croup,yes,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,коклюш,whooping-cough,yes,7,14,21,0,0,2,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,сифилис,syphilis,,1,2,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,сибирская язва,Siberian plague / anthrax,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,рожа,wildfire,,4,2,6,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,крупозная пневмония,pulmonic fever,yes,28,11,39,0,0,3,0,0,0,1,1,7,6,5,8,3,5,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,болезнь органов дыхания,respiratory disease,yes,164,163,327,208,3,239,12,44,1,1,0,4,3,7,7,3,5,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,чахотка легких,pulmonary tuberculosis,yes,140,81,221,0,8,1,0,3,2,1,15,52,53,51,20,18,3,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,желудочно-кишечный катар,gastro-intestinal infection,yes,248,223,471,252,2,334,45,76,1,0,0,3,0,4,3,3,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,несчастный случай,accidents,,9,1,10,0,0,0,0,2,0,0,0,0,2,3,0,2,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,September,самоубийство,suicide,,12,1,13,0,0,0,0,0,0,0,2,6,2,1,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,убийство,murder,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,алкоголизм,alcoholism,,8,0,8,0,0,0,0,0,0,0,0,2,3,1,1,0,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,рак,cancer,,22,27,49,0,7,0,0,0,0,0,0,0,5,11,16,16,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,September,заболевания нервной системы,diseases of the nervous system,,66,45,111,1,8,4,4,13,4,2,4,5,13,14,15,15,14,2,2,,,,,,,,,,,,,
Moscow,provincial city,1889,October,сыпной тиф,spotted fever,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,брюшной тиф,enteric fever,,18,7,25,0,1,0,0,2,1,3,2,11,2,3,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,тиф без означения формы,typhus,,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,послеродовая горячка,puerperal fever,,0,10,10,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,оспа,smallpox,,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,скарлатина,scarlet fever,,26,18,44,0,0,0,6,23,12,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,корь,measles,,6,6,12,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,кровавый понос,bloody diarrhoea,,4,4,8,1,0,1,0,1,0,0,0,0,1,1,2,2,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,дифтерит,pseudomembranous inflammation,,23,6,29,6,0,6,1,13,6,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,круп,croup,yes,1,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,коклюш,whooping-cough,yes,7,7,14,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,сифилис,syphilis,,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,сибирская язва,Siberian plague / anthrax,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,сап,glanders,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,рожа,wildfire,,6,6,12,4,0,5,0,2,1,0,0,0,1,0,1,1,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,крупозная пневмония,pulmonic fever,yes,19,17,36,0,2,0,1,1,0,0,0,2,3,6,9,11,2,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,болезнь органов дыхания,respiratory disease,yes,171,166,337,176,2,209,30,62,1,2,2,2,5,8,7,6,3,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,чахотка легких,pulmonary tuberculosis,yes,186,93,279,0,3,0,0,2,1,0,15,74,64,71,33,15,4,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,желудочно-кишечный катар,gastro-intestinal infection,yes,222,191,413,289,1,343,28,36,1,0,0,1,0,0,4,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,несчастный случай,accidents,,6,3,9,0,0,0,0,1,0,2,0,2,2,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,самоубийство,suicide,,8,1,9,0,0,0,0,0,0,1,1,3,2,0,1,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,October,убийство,murder,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,алкоголизм,alcoholism,,8,0,8,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,рак,cancer,,23,28,51,0,8,0,0,0,0,0,0,0,1,11,21,13,5,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,October,заболевания нервной системы,diseases of the nervous system,,69,43,112,2,7,10,8,10,3,1,5,7,9,13,16,20,8,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,сыпной тиф,spotted fever,,2,1,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,брюшной тиф,enteric fever,,12,10,22,0,1,0,0,2,1,3,3,5,6,1,0,0,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,тиф без означения формы,typhus,,2,5,7,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,послеродовая горячка,puerperal fever,,0,11,11,0,1,0,0,0,0,0,2,5,4,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,оспа,smallpox,,2,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,скарлатина,scarlet fever,,32,32,64,0,1,1,1,40,15,5,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,корь,measles,,9,5,14,0,0,2,2,6,3,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,кровавый понос,bloody diarrhoea,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,дифтерит,pseudomembranous inflammation,,19,21,40,12,1,12,2,21,4,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,круп,croup,yes,5,2,7,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,коклюш,whooping-cough,yes,8,11,19,0,0,3,2,14,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,сифилис,syphilis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,сибирская язва,Siberian plague / anthrax,,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,рожа,wildfire,,7,9,16,6,1,6,0,0,0,1,0,0,3,1,4,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,крупозная пневмония,pulmonic fever,yes,59,32,91,0,5,1,1,3,0,1,3,7,25,19,10,19,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,болезнь органов дыхания,respiratory disease,yes,279,322,601,342,5,375,43,84,11,0,1,5,13,22,22,18,4,3,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,чахотка легких,pulmonary tuberculosis,yes,276,129,405,0,17,0,0,3,0,3,16,104,115,85,44,29,4,1,1,,,,,,,,,,,,,
Moscow,provincial city,1889,November,желудочно-кишечный катар,gastro-intestinal infection,yes,191,178,369,271,1,314,22,27,0,0,0,2,1,0,0,1,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,несчастный случай,accidents,,7,4,11,0,1,1,0,2,1,1,0,1,3,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,самоубийство,suicide,,7,2,9,0,1,0,0,0,0,0,0,4,2,1,1,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,November,убийство,murder,,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,алкоголизм,alcoholism,,6,1,7,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,рак,cancer,,21,30,51,0,6,0,0,0,0,0,0,1,7,18,12,6,4,3,0,,,,,,,,,,,,,
Moscow,provincial city,1889,November,заболевания нервной системы,diseases of the nervous system,,84,51,135,6,4,11,6,20,4,5,4,12,13,20,17,17,4,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,сыпной тиф,spotted fever,,3,1,4,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,брюшной тиф,enteric fever,,10,4,14,0,1,0,0,0,0,1,2,8,1,2,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,тиф без означения формы,typhus,,3,2,5,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,послеродовая горячка,puerperal fever,,0,5,5,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,оспа,smallpox,,1,.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,скарлатина,scarlet fever,,30,31,61,0,3,0,4,37,14,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,корь,measles,,9,8,17,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,кровавый понос,bloody diarrhoea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,дифтерит,pseudomembranous inflammation,,32,18,50,10,0,10,4,18,11,4,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,круп,croup,yes,5,0,5,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,коклюш,whooping-cough,yes,7,14,21,0,0,5,3,12,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,сифилис,syphilis,,2,2,4,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,сибирская язва,Siberian plague / anthrax,,5,0,5,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,December,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
